DirectorName - unedited,First_Name,Last_Name
Marie-Berthe Des Groseillers,Marie-Berthe,Des Groseillers
Pierre Ouimet,Pierre,Ouimet
Tony Fionda,Tony,Fionda
Yves Des Groseillers,Yves,Des Groseillers
Eric Brown,Eric,Brown
Ford Nicholson,Ford,Nicholson
Wesley Clark Sr,Wesley,Clark
Leslie O'Connor,Leslie,O'Connor
Victor Redekop,Victor,Redekop
Wolf Regener,Wolf,Regener
David Merrell,David,Merrell
W Sadler,W,Sadler
William Brown,William,Brown
Brock Bulbuck,Brock,Bulbuck
Tim O'Day,Tim,O'Day
Al Davis,Al,Davis
Dave Brown,Dave,Brown
Gene Dunn,Gene,Dunn
Robert Gross,Robert,Gross
Sally Savoia,Sally,Savoia
Howard Kerbel,Howard,Kerbel
Jeffrey Kerbel,Jeffrey,Kerbel
Jim De Gasperis,Jim,De Gasperis
John Piecuch,John,Piecuch
Ken Tanenbaum,Ken,Tanenbaum
P Grant,P,Grant
Peter Smith,Peter,Smith
Rudy Bratty,Rudy,Bratty
William H. Cary,William,Cary
Michael Hanley,Michael,Hanley
Edward Philip,Edward,Philip
Carlos Mazzorin,Carlos,Mazzorin
Estelle Métayer,Estelle,Métayer
José Boisjoli,José,Boisjoli
Yvonne Hao,Yvonne,Hao
Joshua Bekenstein,Joshua,Bekenstein
Joseph Robbins,Joseph,Robbins
Laurent Beaudoin,Laurent,Beaudoin
Louis Laporte,Louis,Laporte
Andre Bombardier,Andre,Bombardier
Daniel O'Neill,Daniel,O'Neill
Fernand Perreault,Fernand,Perreault
Jean-Pierre Janson,Jean-Pierre,Janson
Jocelyn Proteau,Jocelyn,Proteau
Luc Lachapelle,Luc,Lachapelle
Lucie Ducharme,Lucie,Ducharme
Michel Leonard,Michel,Leonard
Peter Polatos,Peter,Polatos
Sylvie Lachance,Sylvie,Lachance
Alan Chan,Alan,Chan
Doctor Allan Yap,Allan,Yap
Doctor David Tyrrell,David,Tyrrell
Doug Gilpin,Doug,Gilpin
Matt Hall,Matt,Hall
Peter Kappel,Peter,Kappel
Rosanna Chau,Rosanna,Chau
Bill Lingard,Bill,Lingard
David Calnan,David,Calnan
Garry Mihaichuk,Garry,Mihaichuk
Glen Roane,Glen,Roane
Grant Billing,Grant,Billing
Kay Best,Kay,Best
Carol Stephenson,Carol,Stephenson
Doug Hayhurst,Doug,Hayhurst
Ian Bourne,Ian,Bourne
Ian Sutcliffe,Ian,Sutcliffe
Jim Roche,Jim,Roche
Marty Neese,Marty,Neese
Randy MacEwen,Randy,MacEwen
Bryan Disher,Bryan,Disher
Dan MacInnis,Dan,MacInnis
Darin Wagner,Darin,Wagner
Dougald Currie,Dougald,Currie
Lawrence Talbot,Lawrence,Talbot
Bill Downe,Bill,Downe
Chris Edwards,Chris,Edwards
Don Wilson III,Don,Wilson
Eric La Flèche,Eric,La Flèche
George Cope,George,Cope
Jan Babiak,Jan,Babiak
Lorraine Mitchelmore,Lorraine,Mitchelmore
Philip Orsino,Philip,Orsino
Professor Doctor Martin Eichenbaum,Martin,Eichenbaum
Professor Rob Prichard,Rob,Prichard
Ron Farmer,Ron,Farmer
Sophie Brochu,Sophie,Brochu
Aaron Regent,Aaron,Regent
Barbara Thomas,Barbara,Thomas
Bill Fatt,Bill,Fatt
Brian Porter,Brian,Porter
Doctor Charles Dallara,Charles,Dallara
Doctor Guillermo Babatz Torres,Guillermo,Babatz Torres
Doctor Indira Samarasekera,Indira,Samarasekera
Doctor Paul Sobey,Paul,Sobey
Doctor Tiff Macklem,Tiff,Macklem
Eduardo Pacheco Cortés,Eduardo,Pacheco Cortés
L Thomson,L,Thomson
Nora Aufreiter,Nora,Aufreiter
Ron Brenneman,Ron,Brenneman
Scott Bonham,Scott,Bonham
Susan Segal,Susan,Segal
Tom O'Neill,Tom,O'Neill
Una Power,Una,Power
Derrick Weyrauch,Derrick,Weyrauch
Doctor John Clarke,John,Clarke
Maurice Colson,Maurice,Colson
Mick Oliver,Mick,Oliver
Peter Cowley,Peter,Cowley
Richard Brissenden,Richard,Brissenden
Anthony Munk,Anthony,Munk
Brian Greenspun,Brian,Greenspun
Doctor Dambisa Moyo,Dambisa,Moyo
Ernie Thrasher Jr,Ernie,Thrasher
